grid_id,cx,cy,max_rank,max_depth_cm,flood_ratio,exposure,priority
G02581,126.929106,37.394512,3.0,60.0,0.2327,0.8327,0.8327
G02071,126.930237,37.388206,1.0,20.0,0.6326,0.8326,0.8326
G01781,126.932498,37.384602,2.0,40.0,0.4297,0.8297,0.8297
G03124,126.965291,37.400818,2.0,40.0,0.4274,0.8274,0.8274
G03861,126.973207,37.409827,1.0,20.0,0.6261,0.8261,0.8261
G03059,126.974338,37.399917,1.0,20.0,0.6259,0.8259,0.8259
G03267,126.961899,37.40262,1.0,20.0,0.6248,0.8248,0.8248
G02283,126.922321,37.390908,2.0,40.0,0.422,0.822,0.822
G02651,126.925714,37.395413,1.0,20.0,0.6203,0.8203,0.8203
G01854,126.932498,37.385503,1.0,20.0,0.6156,0.8156,0.8156
G02341,126.905359,37.391809,2.0,40.0,0.4153,0.8153,0.8153
G00846,126.948329,37.37289,2.0,40.0,0.4127,0.8127,0.8127
G02318,126.961899,37.390908,2.0,40.0,0.4116,0.8116,0.8116
G04395,126.916667,37.417035,3.0,60.0,0.211,0.811,0.811
G02959,126.943806,37.399016,1.0,20.0,0.6102,0.8102,0.8102
G03481,126.956245,37.405323,1.0,20.0,0.6094,0.8094,0.8094
G02159,126.947199,37.389107,4.0,100.0,0.0089,0.8089,0.8089
G03397,126.943806,37.404422,1.0,20.0,0.6081,0.8081,0.8081
G03085,126.92119,37.400818,2.0,40.0,0.4068,0.8068,0.8068
G04397,126.918929,37.417035,1.0,20.0,0.6042,0.8042,0.8042
G01705,126.929106,37.383701,2.0,40.0,0.4009,0.8009,0.8009
G02022,126.957376,37.387305,1.0,20.0,0.5955,0.7955,0.7955
G03005,126.913275,37.399917,2.0,40.0,0.3947,0.7947,0.7947
G03568,126.972076,37.406224,1.0,20.0,0.5946,0.7946,0.7946
G02715,126.915536,37.396314,3.0,60.0,0.1943,0.7943,0.7943
G02079,126.939283,37.388206,1.0,20.0,0.5893,0.7893,0.7893
G02934,126.915536,37.399016,1.0,20.0,0.5886,0.7886,0.7886
G01951,126.959637,37.386404,1.0,20.0,0.585,0.785,0.785
G01946,126.953983,37.386404,1.0,20.0,0.5845,0.7845,0.7845
G03167,126.931368,37.401719,1.0,20.0,0.5844,0.7844,0.7844
G02958,126.942675,37.399016,1.0,20.0,0.582,0.782,0.782
G01706,126.930237,37.383701,2.0,40.0,0.3817,0.7817,0.7817
G03130,126.972076,37.400818,2.0,40.0,0.3815,0.7815,0.7815
G01947,126.955114,37.386404,2.0,40.0,0.3797,0.7797,0.7797
G02327,126.972076,37.390908,1.0,20.0,0.5775,0.7775,0.7775
G04319,126.913275,37.416134,3.0,60.0,0.1749,0.7749,0.7749
G03451,126.922321,37.405323,3.0,60.0,0.1749,0.7749,0.7749
G02935,126.916667,37.399016,2.0,40.0,0.3735,0.7735,0.7735
G02203,126.914406,37.390007,3.0,60.0,0.173,0.773,0.773
G02933,126.914406,37.399016,1.0,20.0,0.5725,0.7725,0.7725
G03440,126.909883,37.405323,2.0,40.0,0.3721,0.7721,0.7721
G02479,126.978861,37.39271,3.0,60.0,0.1712,0.7712,0.7712
G02859,126.913275,37.398116,1.0,20.0,0.5683,0.7683,0.7683
G02148,126.93476,37.389107,2.0,40.0,0.3673,0.7673,0.7673
G03520,126.917798,37.406224,1.0,20.0,0.5638,0.7638,0.7638
G03547,126.948329,37.406224,3.0,60.0,0.1623,0.7623,0.7623
G01607,126.900836,37.3828,2.0,40.0,0.3593,0.7593,0.7593
G02370,126.938152,37.391809,1.0,20.0,0.5587,0.7587,0.7587
G02653,126.927975,37.395413,2.0,40.0,0.3587,0.7587,0.7587
G02618,126.970945,37.394512,2.0,40.0,0.3582,0.7582,0.7582
G03554,126.956245,37.406224,2.0,40.0,0.3569,0.7569,0.7569
G02981,126.968684,37.399016,1.0,20.0,0.5543,0.7543,0.7543
G03277,126.973207,37.40262,1.0,20.0,0.5528,0.7528,0.7528
G02885,126.942675,37.398116,1.0,20.0,0.5513,0.7513,0.7513
G03549,126.950591,37.406224,2.0,40.0,0.3486,0.7486,0.7486
G03469,126.942675,37.405323,2.0,40.0,0.3405,0.7405,0.7405
G01708,126.932498,37.383701,1.0,20.0,0.5394,0.7394,0.7394
G02210,126.922321,37.390007,3.0,60.0,0.1361,0.7361,0.7361
G02546,126.972076,37.393611,1.0,20.0,0.5353,0.7353,0.7353
G03035,126.947199,37.399917,2.0,40.0,0.3344,0.7344,0.7344
G02464,126.961899,37.39271,1.0,20.0,0.5334,0.7334,0.7334
G01422,126.939283,37.380098,2.0,40.0,0.3325,0.7325,0.7325
G03053,126.967553,37.399917,1.0,20.0,0.5321,0.7321,0.7321
G01707,126.931368,37.383701,1.0,20.0,0.532,0.732,0.732
G03665,126.916667,37.408025,3.0,60.0,0.1312,0.7312,0.7312
G03380,126.924583,37.404422,2.0,40.0,0.3312,0.7312,0.7312
G04102,126.915536,37.413431,1.0,20.0,0.5309,0.7309,0.7309
G03206,126.975468,37.401719,1.0,20.0,0.5306,0.7306,0.7306
G02952,126.935891,37.399016,1.0,20.0,0.5293,0.7293,0.7293
G02714,126.914406,37.396314,3.0,60.0,0.1292,0.7292,0.7292
G03349,126.972076,37.403521,1.0,20.0,0.5245,0.7245,0.7245
G02764,126.970945,37.396314,1.0,20.0,0.5216,0.7216,0.7216
G01350,126.940414,37.379197,3.0,60.0,0.1181,0.7181,0.7181
G02983,126.970945,37.399016,1.0,20.0,0.5177,0.7177,0.7177
G03590,126.914406,37.407125,1.0,20.0,0.5157,0.7157,0.7157
G02835,126.968684,37.397215,1.0,20.0,0.515,0.715,0.715
G02951,126.93476,37.399016,1.0,20.0,0.5148,0.7148,0.7148
G02097,126.959637,37.388206,1.0,20.0,0.5132,0.7132,0.7132
G01778,126.929106,37.384602,2.0,40.0,0.3119,0.7119,0.7119
G03403,126.950591,37.404422,1.0,20.0,0.5099,0.7099,0.7099
G02252,126.969814,37.390007,1.0,20.0,0.5081,0.7081,0.7081
G02510,126.931368,37.393611,3.0,60.0,0.1078,0.7078,0.7078
G03228,126.917798,37.40262,1.0,20.0,0.507,0.707,0.707
G03006,126.914406,37.399917,1.0,20.0,0.5019,0.7019,0.7019
G02173,126.96303,37.389107,1.0,20.0,0.501,0.701,0.701
G03249,126.941545,37.40262,3.0,60.0,0.0995,0.6995,0.6995
G02226,126.940414,37.390007,1.0,20.0,0.4991,0.6991,0.6991
G03060,126.975468,37.399917,1.0,20.0,0.4984,0.6984,0.6984
G04134,126.951722,37.413431,2.0,40.0,0.298,0.698,0.698
G03011,126.92006,37.399917,1.0,20.0,0.495,0.695,0.695
G02332,126.97773,37.390908,3.0,60.0,0.0948,0.6948,0.6948
G02953,126.937022,37.399016,1.0,20.0,0.4946,0.6946,0.6946
G02861,126.915536,37.398116,2.0,40.0,0.2939,0.6939,0.6939
G03078,126.913275,37.400818,1.0,20.0,0.4927,0.6927,0.6927
G04249,126.916667,37.415233,1.0,20.0,0.4905,0.6905,0.6905
G01277,126.940414,37.378296,2.0,40.0,0.2902,0.6902,0.6902
G03594,126.918929,37.407125,3.0,60.0,0.0887,0.6887,0.6887
G03657,126.907621,37.408025,3.0,60.0,0.0848,0.6848,0.6848
G03377,126.92119,37.404422,2.0,40.0,0.2845,0.6845,0.6845
G02126,126.909883,37.389107,2.0,40.0,0.2831,0.6831,0.6831
G02663,126.939283,37.395413,3.0,60.0,0.0804,0.6804,0.6804
